"id","name","address","cityId","cityName","districtId","districtName","phone","telephones","logoUrl","businessTime","lowPrice","cinemaId"
"11","百丽宫LUXE影城（天环店）","广州市天河区天河路212、214、216、218、220号天环广场地下一层B117铺","440100","广州市","440106","天河区","020-38559527","020-38559527","https://pic.maizuo.comusr/5271/4c825a0a7d23df9fed5b85caad9a4bc7.jpg","","4280","5271"
"12","广州金逸空中电影城","广东省广州市海珠区阅江西路222号","440100","广州市","440105","海珠区","020-89996086","020-89996086","https://pic.maizuo.comusr/1017/631ddf30279fa1fff3711444acd87585.jpg","10:00-22:00（次日）","5000","1017"
"13","广州喜航影城","广东省广州市海珠区江燕路99号201室","440100","广州市","440105","海珠区","020-89636679","020-89636679","https://pic.maizuo.comusr/8200/4c825a0a7d23df9fed5b85caad9a4bc7.jpg","","2740","8200"
"14","广州CGV影城（K11店）","广州市天河区珠江东路6号K11购物艺术中心5F","440100","广州市","440106","天河区","020-88835040","020-88835040","https://pic.maizuo.comusr/8190/4c825a0a7d23df9fed5b85caad9a4bc7.jpg","","8900","8190"
"15","广州飞扬影城高德置地店","广州市天河区珠江东路14号高德置地冬广场5楼501铺","440100","广州市","440106","天河区","020-85591013","020-85591013","https://pic.maizuo.comusr/1834/de8f12c5569d8fe91ce2e2e0e8591b4a.jpg","","5100","1834"
"16","金逸影城达镖店","广东广州海珠区昌岗中路238号达镖国际中心第五层","440100","广州市","440105","海珠区","020-89202828/020-89202838","020-89202828/020-89202838","https://pic.maizuo.comusr/761/d14cfdb306f24a0b6313783064c57045.jpg","10:00-24:00","3500","761"
"17","金逸影城维家思店","广州市黄埔大道西188号维家思广场三楼","440100","广州市","440106","天河区","020-87588855","020-87588855","https://pic.maizuo.comusr/37/d14cfdb306f24a0b6313783064c57045.jpg","10:00-24:00","4100","37"
"18","SFC上影影城（广州店）","广州市海珠区江燕路108号燕汇广场四楼","440100","广州市","440105","海珠区","020-89778118","020-89778118","https://pic.maizuo.comusr/202/E5E1ADE60156EBF84B0EBCEC4A766D11.jpg","早上10:00-晚上23:00","3400","202"
"19","飞扬影城正佳店","广州天河区天河路228号正佳广场7楼","440100","广州市","440106","天河区","020-85590911","020-85590911","https://pic.maizuo.comusr/220/dcf4731d0fcf8b2d9d3b10f5f4c5e19b.jpg","10:00-00:00","4390","220"
"20","金逸影城（光美番禺大石店）","广州市番禺区大石街建华汇商业中心F座3楼（人人乐超市、麦当劳）","440100","广州市","440113","番禺区","020-31001138","020-31001138","https://pic.maizuo.comusr/2857/f6ee879074d528720b7d65b4ae8a7414.png","","3400","2857"
"21","飞扬影城天河店","广州天河区天河城广场内西北塔四楼飞扬电影城","440100","广州市","440106","天河区","020-85596002","020-85596002","https://pic.maizuo.comusr/219/dcf4731d0fcf8b2d9d3b10f5f4c5e19b.jpg","10:00-00:00","4390","219"
"22","广州UA东方宝泰电影城"," 广州市天河区林和中路63号101房","440100","广州市","440106","天河区","020-85111168","020-85111168","https://pic.maizuo.comusr/6693/606272cc02685cb977cad2f9c3b07642.png","","4280","6693"
"23","中影喜遇国际影城","海珠区金聚街1-19号六福华庭二层自编225号商铺","440100","广州市","440105","海珠区","020-80927918","020-80927918","","","2690","9551"
"24","尚影城","海珠区江南大道中218号2楼（江南西地铁B出口，海员宾馆-壹街叁号旁）","440100","广州市","440105","海珠区","020-84435255","020-84435255","","","3800","10893"
"25","广州金逸海珠城IMAX店","广东省广州市海珠区江南大道中180号富力海珠商业广场B区7-8层","440100","广州市","440105","海珠区","020-89623235","020-89623235","https://pic.maizuo.comusr/2727/631ddf30279fa1fff3711444acd87585.tmp","","4500","2727"
"26","FUN范影城（原喜洋时代洛溪店）","广州市番禺区洛浦街奥林匹克大厦4楼","440100","广州市","440113","番禺区","020-34703000	","020-34703000	","https://pic.maizuo.comusr/797/88249edafb58ba7018b5a778e3e3aa99.jpg","10:00-24:00","2900","797"
"27","广州市一宫电影城","广东广州越秀区文明路65号","440100","广州市","440104","越秀区","020-83372923","020-83372923","https://pic.maizuo.comusr/775/39922b9cde2bd8a40d9205dba7a1c83c.jpg","9:30-23:00","3400","775"
"28","百丽宫IMAX影城(猎德igc店)","广州市天河区珠江新城兴民路222号天汇广场igcL416","440100","广州市","440106","天河区","020-85655971","020-85655971","https://pic.maizuo.comusr/5270/4c825a0a7d23df9fed5b85caad9a4bc7.jpg","","4700","5270"
"29","CGV影城广州北京路","广州市越秀区北京路168号粤海仰忠汇8层 ","440100","广州市","440104","越秀区","020-83522554","020-83522554","https://pic.maizuo.comusr/8761/4c825a0a7d23df9fed5b85caad9a4bc7.jpg","","4000","8761"
"30","广州期遇•艺电影城（北京路店）","广州市越秀区北京路238号名盛广场（天河城百货）九楼","440100","广州市","440104","越秀区","020-83609088","020-83609088","https://pic.maizuo.comusr/6949/46a8f7c14d865e9d5777779326bf8a15.png","10：00-24:00","2000","6949"
"31","广东工人电影院","广州市越秀区南堤二马路36号","440100","广州市","440104","越秀区","020-83881186","020-83881186","https://pic.maizuo.comusr/6704/4c825a0a7d23df9fed5b85caad9a4bc7.jpg","","2100","6704"
"32","永汉电影院","越秀区北京路186号3楼（潮楼对面）","440100","广州市","440104","越秀区","020-83330721","020-83330721","https://pic.maizuo.comusr/3031/8e341ab60ea5c99dfb6c00a496c57483.png","09:30-24:00（节假日除外）","3000","3031"
"33","广州华影青宫电影城","广州北京路312号青年文化宫二楼（晚上22点后请由青宫南门入）","440100","广州市","440104","越秀区","020-83329918","020-83329918","https://pic.maizuo.comusr/604/4c825a0a7d23df9fed5b85caad9a4bc7.jpg","9:30-24:00","3400","604"
"34","哈艺时尚影城(海珠赤岗店)","广州市海珠区石榴岗路10号首层","440100","广州市","440105","海珠区","020-29177888","020-29177888","https://pic.maizuo.comusr/893/6920c3661fcbe3f7bc69c66fe6f56592.jpg","10:00-24:00","3200","893"
"35","广州丽江影城","广州市番禺区洛浦街丽江花园商业广场（渔人码头）303（1）房","440100","广州市","440113","番禺区","020-39986366","020-39986366","https://pic.maizuo.comusr/737/99477bed734ceb0d215238d85e1f5841.jpg","10:00-23:30","3300","737"
"36","嘉悦国际影城（富基广场店）","海珠区同福东路663号富基广场二期五楼（市二宫地铁站A出口）","440100","广州市","440105","海珠区","020-80927308","020-80927308","","","2300","10007"
"37","广州星汇电影城","广州市越秀区西湖路63号光明广场七楼","440100","广州市","440104","越秀区","020-83312222","020-83312222","https://pic.maizuo.comusr/886/6c690c593b9dae19ca946e95e8f2be09.jpg","10:00-凌晨02:00","3100","886"
"38","广州五月花电影城","广州市中山五路68号五月花商业广场6楼","440100","广州市","440104","越秀区","020-83351988","020-83351988","https://pic.maizuo.comusr/4599/3f2c976f979ea543715a8ff8c7fe963c.png","","3900","4599"
"39","广州电影院","广东省广州市越秀区 沿江西路65号","440100","广州市","440104","越秀区","020-81914312","020-81914312","https://pic.maizuo.comusr/738/c2dfccd8d424c03afe59db2340b89a86.jpg","","3000","738"
"40","FUN范影城（燕塘·杜比巨幕）","天河区燕岭路133号苏荷独立艺术园区内","440100","广州市","440106","天河区","020-87222901","020-87222901","https://pic.maizuo.comusr/8192/4c825a0a7d23df9fed5b85caad9a4bc7.jpg","","2700","8192"
"41","北京路飞扬影城IMAX店","广州市越秀区中山五路70号捷登都会6楼","440100","广州市","440104","越秀区","020-83522576","020-83522576","https://pic.maizuo.comusr/7937/4fb8d86d241930502cf07ec2ffb00fae.jpg","","4300","7937"
"42","曜轩影城","广州市越秀区中山五路219号中旅商业城9楼（地铁公园前A出口）","440100","广州市","440104","越秀区","020-62990708","020-62990708","https://pic.maizuo.comusr/5613/007b1d2c2bfefa87920764be47cc893a.jpg","","4000","5613"
"43","大地影院（番禺大石城店）","广州市番禺区大石街朝阳西路大石城5楼","440100","广州市","440113","番禺区","020-28650751","020-28650751","https://pic.maizuo.comusr/73/226af4b1d757f2054a8370d5e24fb9ad.jpg","","3900","73"
"44","佰合兆全激光巨幕影城","天河区天河路518号闲鱼美食港三楼（原南方电脑城）","440100","广州市","440106","天河区","020-88523196","020-88523196","","","3000","9496"
"45","沃美影城石牌西店","天河区黄埔大道西365号珠水能源大厦5楼","440100","广州市","440106","天河区","020-37276080","020-37276080","https://pic.maizuo.comusr/2122/70efaa8df32764f9fcd71dabfa0eba40.tmp","","2900","2122"
"46","广州UA IMAX花城汇电影城","广州市天河区黄埔大道西74号花城汇负一层1130-1132号铺","440100","广州市","440106","天河区","020-85111168","020-85111168","https://pic.maizuo.comusr/603/bc6cb773ac0f051bb0658f247a241246.jpg","10:00-23:00","4300","603"
"47","广州传奇国际影城广源店","白云区景泰直街33号广源文化商业中心五楼","440100","广州市","440111","白云区","undefined","","","","2800","9480"
"48","广州天娱广场天河电影城","广州市天河路623号岗顶天娱广场5楼（地铁三号线A出口）","440100","广州市","440106","天河区","020-87576722","020-87576722","https://pic.maizuo.comusr/140/95412360B2E9A0A4F21366631A51D7BF.jpg","9:50-23:40","4170","140"
"49","广州华影梅花园影城","广州市白云区广州大道北28号梅花园商业广场5楼","440100","广州市","440111","白云区","020-37322088","020-37322088","https://pic.maizuo.comusr/628/e6b00975aeeed655639164e939f4ebf3.jpg","10:00-24:00","3300","628"
"50","广州中影凤凰影城同和店","广州市白云区广州大道北同和街1号金铂广场4楼","440100","广州市","440111","白云区","020-36297205","020-36297205","https://pic.maizuo.comusr/2708/f5f518044e9ebdb936a436c321e00b4a.tmp","","3220","2708"
"51","广州嘉莱影乐汇","广州市白云区白云大道北880号安华汇六层","440100","广州市","440111","白云区","44002051","44002051","https://pic.maizuo.comusr/8656/4c825a0a7d23df9fed5b85caad9a4bc7.jpg","","2490","8656"
"52","佳影国际影城（番禺店）","广州市番禺区洛浦街沙溪村进村公路西侧丽江明珠歌剧院四层","440100","广州市","440113","番禺区","020-31163789","020-31163789","https://pic.maizuo.comusr/8197/4c825a0a7d23df9fed5b85caad9a4bc7.jpg","","3600","8197"
"53","金逸影城太阳城店","广州市白云区广州大道北1811号嘉裕太阳城广场三楼（地铁3号线京溪南方医院站C出口）","440100","广州市","440111","白云区","020-36732001","020-36732001","https://pic.maizuo.comusr/39/671f582f5beaf7ec3fb221ccf9393bb5.jpg","10:00-00:00","4000","39"
"54","广州万达影城（白云店）","广东广州云城东路503号白云万达广场娱乐楼三楼","440100","广州市","440111","白云区","020-36689666/020-36689777","020-36689666/020-36689777","https://pic.maizuo.comusr/494/581a5a07eaa9b02bf3f5e42c2c55b013.jpg","09:30-02:00","3990","494"
"55","百老汇LUXE影城(凯德店）","广州市白云区云城西路890号凯德广场·云尚5楼","440100","广州市","440111","白云区","020-36607719","020-36607719","https://pic.maizuo.comusr/5272/4c825a0a7d23df9fed5b85caad9a4bc7.jpg","","3850","5272"
"56","中影佰纳影城番禺大石店","广州市番禺区大石街105国道561号","440100","广州市","440113","番禺区","020-31561553","020-31561553","https://pic.maizuo.comusr/4903/f33dcd08b20537be60709ebf1341d26a.jpg","10:30-23:30","3800","4903"
"57","中影天川国际影城（永泰店）","广州市白云区丛云路945号","440100","广州市","440111","白云区","020-31210591","020-31210591","https://pic.maizuo.comusr/7772/4c825a0a7d23df9fed5b85caad9a4bc7.jpg","","2050","7772"
"58","飞扬影城IMAX激光乐峰店","广州市海珠区工业大道北105-106乐峰广场L2","440100","广州市","440105","海珠区","020-89303925","020-89303925","https://pic.maizuo.comusr/5077/de8f12c5569d8fe91ce2e2e0e8591b4a.jpg","09:30-24:00","3600","5077"
"59","中影凤凰影城(永泰店)","白云区永平街永康路45-53号宝湾广场5楼","440100","广州市","440111","白云区","020-66677360","020-66677360","https://pic.maizuo.comusr/8796/4c825a0a7d23df9fed5b85caad9a4bc7.jpg","","2400","8796"
"60","中影南方国际影城流花店","广东省广州越秀区流花路117号1号馆4楼","440100","广州市","440104","越秀区","020-83523083","020-83523083","https://pic.maizuo.comusr/7372/2dffcd54f18204485c3e66c775d0b7b8.jpg","","3000","7372"
"61","IDC国际影城白云尚城店","白云区尚景街1号白云尚城文化活动中心","440100","广州市","440111","白云区","020-29884880","020-29884880","https://pic.maizuo.comusr/1950/b60ebc518d7989c5265b05775ab37d0c.jpg","","3110","1950"
"62","DY影城富力家信LUXE店","海珠区工业大道北88号富力家信商业中心（盒马鲜生）3楼","440100","广州市","440105","海珠区","020-32641370","020-32641370","","","2000","10879"
"63","广州JAJ24小时咖啡影院科宝商城店","广州市番禺区大石街朝阳东路186号A201","440100","广州市","440113","番禺区","02039185837","02039185837","https://pic.maizuo.comusr/3291/23c6546da35592f4c7f34df8d98274b0.jpg","","2590","3291"
"64","广州中影国际影城太阳新天地店","广州市天河区珠江新城马场路36号太阳新天地购物中心8楼","440100","广州市","440106","天河区","020-37260461-8001","020-37260461-8001","https://pic.maizuo.comusr/890/251b6a17003ba55597f77de5e84892fd.jpg","10：00-凌晨02：00","4500","890"
"65","橙天嘉禾影城（白云店 )","广州市白云新城机场路云霄路五号停机坪购物广场3楼","440100","广州市","440111","白云区","020-36077788","020-36077788","https://pic.maizuo.comusr/4608/00afc6a6053381981ca5721b5535b944.jpg","10:00-2:00","4100","4608"
"66","广州金逸影城百信店","广州市白云区机场路1423－1455号百信三期五层","440100","广州市","440111","白云区","020-86310906","020-86310906","https://pic.maizuo.comusr/38/671f582f5beaf7ec3fb221ccf9393bb5.jpg","10:00-24:00","4000","38"
"67","中影乐佳影城","天河区天河北路703号曜和广场3楼(近华师后门)","440100","广州市","440106","天河区","020-38202202","020-38202202","https://pic.maizuo.comusr/1627/8829c200ee00351fabc6e4db594f05ae.jpg","","2200","1627"
"68","星汇影城（天河新天地广场店）","天河区天源路5号天河新天地5楼（天河客运站D出口）","440100","广州市","440106","天河区","undefined","","","","2700","9027"
"69","中影国际影城广州中船汇店","广州市海珠区革新路139号自编3号第四栋","440100","广州市","440105","海珠区","undefined","","","","2310","9514"
"70","大地影院（白云新市天地店）","广州市白云区运城街新市南街45号广州市连富广场F栋3楼","440100","广州市","440111","白云区","020-36162088","020-36162088","https://pic.maizuo.comusr/3378/e4c9c117c99043e7aae70e4a6205a8a4.png","","3400","3378"
"71","唐德国际影城白云汇店","白云区黄石东路88号白云汇广场7F","440100","广州市","440111","白云区","020-31235513","020-31235513","https://pic.maizuo.comusr/7653/4c825a0a7d23df9fed5b85caad9a4bc7.jpg","","3590","7653"
"72","任我行激光巨幕影城（嘉大广场店）","白云区空港大道88号嘉大广场C塔美食城6层","440100","广州市","440111","白云区","undefined","","","","2390","9420"
"73","广州蓓蕾剧院","广州东风西路167号人民北路875号","440100","广州市","440104","越秀区","020-81362572","020-81362572","https://pic.maizuo.comusr/4591/addfd5f38f2eca23658070b62d0bb361.jpg","10:00-22:00","2400","4591"
"74","广州太古仓电影库","广州市海珠区革新路124号6-7仓","440100","广州市","440105","海珠区","020-84309788","020-84309788","https://pic.maizuo.comusr/199/12429a83f494c49e7de24a0a2d91b63a.jpg","09:30-02:00","2400","199"
"75","中影CCV影城","白云区棠景路181号韩汇里A栋四层全层","440100","广州市","440111","白云区","020-86268878","020-86268878","","","3300","10028"
"76","金逸影城（百信西区IMAX店）","广州市白云区棠乐路百信广场西区L3-002","440100","广州市","440111","白云区","020-31477723","020-31477723","https://pic.maizuo.comusr/8707/4c825a0a7d23df9fed5b85caad9a4bc7.jpg","","4000","8707"
"77","广州美亚IMAX激光影城（云门店）","广州市白云区百顺北路1号新世界云门Newpark3楼（地铁嘉禾望岗A出口）","440100","广州市","440111","白云区","020-86385566","020-86385566","","","3900","8897"
"78","粤骏电影城广州店","广州市白云区棠景街沙涌北大街18号新乐嘉商业广场A1区二楼02铺","440100","广州市","440111","白云区","020-62667770","020-62667770","https://pic.maizuo.comusr/4013/c67b06e7eaa12f2d4ca8a79e99441902.jpg","","3300","4013"
"79","哈艺时尚影城(白云YH城店)"," 广东广州白云区鹤边鹤龙一路208号YH城3楼","440100","广州市","440111","白云区","020-29175088","020-29175088","https://pic.maizuo.comusr/2293/6920c3661fcbe3f7bc69c66fe6f56592.tmp","","2030","2293"
"80","脉铂影城（嘉禾金铂天地店）","白云区鹤龙二路85号嘉禾金铂天地5楼脉铂影城","440100","广州市","440111","白云区","020-31230291","020-31230291","","","2290","10914"
"81","广州横店影城","广州市天河区长兴路13号高德汇购物广场三楼","440100","广州市","440106","天河区","020-85605980","020-85605980","https://pic.maizuo.comusr/631/6037ce90daf4f418db3a8b60bdd5b7df.jpg","10:00-24:00","2900","631"
"82","广州IDC星梦影城","广州市番禺区番禺大道北383号海印又一城4楼","440100","广州市","440113","番禺区","020-39193288 / 020-39193268	","020-39193288 / 020-39193268	","https://pic.maizuo.comusr/932/b60ebc518d7989c5265b05775ab37d0c.jpg","","3640","932"
"83","广州JAJ24小时咖啡影院嘉汇广场店","广州市白云区嘉汇广场3层","440100","广州市","440111","白云区","暂无","暂无","https://pic.maizuo.comusr/3255/23c6546da35592f4c7f34df8d98274b0.jpg","","3530","3255"
"84","期遇·隽电影城（上下九东方汇店）","荔湾区下九路58-60号东方汇五楼","440100","广州市","440103","荔湾区","020-80504326","020-80504326","","","1600","9336"
"85","金逸影城和业店","广州市荔湾区康王中路486号和业广场四层402","440100","广州市","440103","荔湾区","020-81236080","020-81236080","https://pic.maizuo.comusr/244/d14cfdb306f24a0b6313783064c57045.jpg","10:00-24:00","2500","244"
"86","广州时尚哈艺影城东平店","广州市白云区永平街东平中路5号时代都荟三楼","440100","广州市","440111","白云区","020-82322899	","020-82322899	","https://pic.maizuo.comusr/2806/6920c3661fcbe3f7bc69c66fe6f56592.jpg","10:00-24:00","1810","2806"
"87","广州平安大戏院","广州市荔湾区第十甫路125号（上下九步行街内）","440100","广州市","440103","荔湾区","020-81395329","020-81395329","https://pic.maizuo.comusr/602/7E1D446AE71BECBDBD596623EA360575.jpg","10:00-23:00","2500","602"
"88","楼上友嘉影城（五山店）","天河区茶山路251-261号二层（单号）","440100","广州市","440106","天河区","020-87584645","020-87584645","https://pic.maizuo.comusr/8523/4c825a0a7d23df9fed5b85caad9a4bc7.jpg","","3400","8523"
"89","中影南方V影城","广州市番禺区钟村街105国道钟村路段钟村市场二楼之三","440100","广州市","440113","番禺区","020-85829260","020-85829260","https://pic.maizuo.comusr/8417/4c825a0a7d23df9fed5b85caad9a4bc7.jpg","","3500","8417"
"90","广州中影南方韦邦国际影城","广州市番禺区钟村雄105国道雄峰城B1三楼","440100","广州市","440113","番禺区","020-39183740","020-39183740","https://pic.maizuo.comusr/4512/4ba5c174cebdce1d7a94dc6225d63304.jpg","","3110","4512"
"91","广州车陂国际影城","广州市天河区中山大道中87号苏宁生活广场3楼","440100","广州市","440106","天河区","020-82304989","020-82304989","https://pic.maizuo.comusr/1126/a2d2fdb57d779f068cce84b3d8ab9d0e.tmp","09:30-24:00","2200","1126"
"92","中影星海国际影城黄石店","白云区黄石街黄石西路383号1栋202","440100","广州市","440111","白云区","020-31522453","020-31522453","","","2300","10832"
"93","左岸国际影城（黄石店）","白云区新市黄石西路金国广场二楼","440100","广州市","440111","白云区","020-31217717","020-31217717","","","3100","8989"
"94","广州中影佰纳（飞影）电影城天河店","广东广州天河区东莞庄路世纪联华2楼","440100","广州市","440106","天河区","020-37225388","020-37225388","https://pic.maizuo.comusr/757/e27e2b885af0b688e5db7f598d04383c.jpg","星期一至五12:30-00:30；星期六日、节假日10:00-0:30","3300","757"
"95","星天地国际影城（萝岗店）","广东省广州市白云区均禾街道罗岗村委旁中源广场四楼","440100","广州市","440111","白云区","020-31232998","020-31232998","","","2500","8844"
"96","yes梦想影城（中国巨幕CGS小西关店）","广州市荔湾区荔湾路97号动感小西关内（地铁1号线陈家祠站D出口步行550米）","440100","广州市","440103","荔湾区","020-81977818","020-81977818","https://pic.maizuo.comusr/7399/6227ea87cbb65f7692878cafc90a2b59.png","","1820","7399"
"97","（原西城都荟）广州UA领展购物广场电影城","广州市荔湾区黄沙大道8号西城都荟广场三楼","440100","广州市","440103","荔湾区","020-85111168","020-85111168","https://pic.maizuo.comusr/865/b9bbbf9a90f24b966fd6f0a292ca4bd6.jpg","10:00-22:00","4170","865"
"98","百川国际影城(荔湾华润万家店)","广州市荔湾区中山八路12号401房","440100","广州市","440103","荔湾区","undefined","","","","2500","10190"
"99","中影凤凰国际影城龙归店","广州市白云区太和镇龙归龙岗路1号金铂广场4楼","440100","广州市","440111","白云区","020-61992188","020-61992188","https://pic.maizuo.comusr/1628/f5f518044e9ebdb936a436c321e00b4a.jpg","","2600","1628"
"100","大地影院-（天河员宫店）","广州市天河区员村二横路2号","440100","广州市","440106","天河区","020-85575341 / 4006782828","020-85575341 / 4006782828","https://pic.maizuo.comusr/74/226af4b1d757f2054a8370d5e24fb9ad.jpg","","3900","74"
"101","CGV影城（悦汇城IMAX店）","荔湾区西湾路悦汇城4层D区CGV影城","440100","广州市","440103","荔湾区","020-81179939","020-81179939","","","3300","10836"
"102","烽禾影城（祈福新店）","番禺区钟村钟福广场二期四楼","440100","广州市","440113","番禺区","4006510086","4006510086","","","3300","9421"
"103","广州华影万晟国际影城","广州市荔湾区逢源路153号（3-5楼）","440100","广州市","440103","荔湾区","020-81236302","020-81236302","https://pic.maizuo.comusr/612/1e44b7c740bccf59b4e6c36942d4ded1.jpg","10:00-24:00","2580","612"
"104","广州中影聚丰国际影城","广州市白云区石夏路288号金珀广场7楼","440100","广州市","440111","白云区","020-86213424","020-86213424","https://pic.maizuo.comusr/6729/e39cc5105b71fcb5aa618fe5292110e0.jpg","10:30-24:00","2000","6729"
"105","哈艺时尚影城(立白中心店)","广州市荔湾区陆居路2号立白大厦负一层自编B102/B103/B108号","440100","广州市","440103","荔湾区","020-81658597","020-81658597","https://pic.maizuo.comusr/7884/4c825a0a7d23df9fed5b85caad9a4bc7.jpg","","2890","7884"
"106","未来欢乐汇影城","荔湾区鹤洞路中海花湾天地三层","440100","广州市","440103","荔湾区","020-36998765","020-36998765","","","3300","10005"
"107","珠影飞扬影城（番禺天河城店）","番禺区万博商务区汉溪大道东366号番禺天河城5-6楼","440100","广州市","440113","番禺区","15920432747","15920432747","","","3300","11165"
"108","广州万达影城（番禺店）","广州市番禺区汉溪大道东381号番禺万达广场4楼","440100","广州市","440113","番禺区","020-31007598","020-31007598","https://pic.maizuo.comusr/1377/581a5a07eaa9b02bf3f5e42c2c55b013.tmp","","3990","1377"
"109","广州金逸影城西村店","广东省广州市荔湾区西增路63号原创元素创意园自编A11号楼A11-201铺","440100","广州市","440103","荔湾区","020-66288253","020-66288253","https://pic.maizuo.comusr/866/671f582f5beaf7ec3fb221ccf9393bb5.jpg","10:00-24:00","2500","866"
"110","哈艺巨幕影城（祈福度假俱乐部店）","番禺区市广路8号祈福新村度假俱乐部","440100","广州市","440113","番禺区","020-39290151","020-39290151","","","3400","9300"
"111","哈艺时尚影城（番禺祈福店）","广州市番禺区钟村街福华路64号（祈福俱乐部斜对面）","440100","广州市","440113","番禺区","39290151","39290151","https://pic.maizuo.comusr/7885/4c825a0a7d23df9fed5b85caad9a4bc7.jpg","10：00-23:00","3400","7885"
"112","广州新影汇国际影城","广州市荔湾区花地大道中228号奔富广场首层（地铁1号线坑口站B出口右转200米）","440100","广州市","440103","荔湾区","020-86536143","020-86536143","https://pic.maizuo.comusr/6685/63eb378dd6f7a837e5bdf9b1a7829cb3.jpg","","3000","6685"
"113","期遇·悦电影城（龙归悦和方店）","白云区龙悦新街156号龙归城悦和方购物中心四楼","440100","广州市","440111","白云区","020-31922125","020-31922125","","","2890","10894"
"114","广东科学中心科技影院","广东广州番禺区大学城西六路168号广东科学中心","440100","广州市","440113","番禺区","020-39348080","020-39348080","https://pic.maizuo.comusr/231/66bc329ba72eded48ef80a365fe33565.bmp","09:00-22:00","3100","231"
"115","龙影国际影城平沙店","广东省广州市白云区均禾街平沙商贸大厦天和百货3楼龙影国际影城","440100","广州市","440111","白云区","020-36772511","020-36772511","https://pic.maizuo.comusr/1746/5eeb1c3bcd829628df2be93d2b884656.jpg","早上10:00至放映结束","3940","1746"
"116","中影石井巨幕影城LUXE","白云区石井街石槎路自编3号D栋3楼101房","440100","广州市","440111","白云区","undefined","","","","3000","10022"
"117","爱禧鹅掌坦店（原保利影城）","广州市白云区西槎路99号骐利广场C座5楼地铁8号线鹅掌坦A出口20米","440100","广州市","440111","白云区","020-36478083","020-36478083","https://pic.maizuo.comusr/974/6f7ceb05dc004a2dc145a114c36bf25c.jpg","","980","974"
"118","大导演激光巨幕影城(大源店)","广东省广州市白云区大源南路108号大源商业广场三楼","440100","广州市","440111","白云区","020-31232861","020-31232861","","","3400","8840"
"119","金逸影城（琶洲六元素店）","广州市海珠区新港东路1088号六元素体验天地5楼","440100","广州市","440105","海珠区","020-37601839","020-37601839","","","3500","9402"
"120","龙洞巨幕影城","广州市天河区迎龙路163号大院内B4栋之一A1","440100","广州市","440106","天河区","020-87066522","020-87066522","https://pic.maizuo.comusr/8196/4c825a0a7d23df9fed5b85caad9a4bc7.jpg","","3690","8196"
"121","博亚国际影城(南岸路店)","广州市荔湾区南岸路45号圣地新天地广场3楼","440100","广州市","440103","荔湾区","020-81179390","020-81179390","https://pic.maizuo.comusr/4595/2bff5cbc8c4ddae4e6ca449f89f72e6f.jpg","","3800","4595"
"122","左岸国际影城（海荟城店）","荔湾区荔河商贸中心海荟城四楼","440100","广州市","440103","荔湾区","020-81564766","020-81564766","","","2600","9023"
